                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.56901,                 5.5035,                 1.0248,                0.00084,                0.04167,                0.00137,                0.00085,                0.91833,                 4.9401,                 1.4683,             6.6556e-06,             6.6556e-06,             6.6556e-06
                      1,                0.51886,                 5.2319,                0.99429,                 0.0021,                0.16071,                 0.0091,                0.00714,                0.79947,                 4.8461,                 1.3752,             1.2443e-05,             1.2443e-05,             1.2443e-05
                      2,                0.49105,                 5.0233,                 0.9859,                0.00321,                0.27579,                0.01386,                0.01214,                0.69619,                 4.5872,                  1.246,              1.735e-05,              1.735e-05,              1.735e-05
                      3,                0.46831,                 4.8447,                0.97921,                0.00415,                0.41567,                0.02191,                0.02004,                0.61717,                  4.348,                 1.1656,              1.604e-05,              1.604e-05,              1.604e-05
                      4,                 0.4563,                 4.6922,                0.97589,                0.00501,                 0.5496,                0.03484,                0.03201,                0.64953,                 4.1733,                 1.2163,              1.604e-05,              1.604e-05,              1.604e-05
                      5,                0.38563,                 4.6226,                0.96885,                0.43928,                0.08458,                0.06209,                0.05634,                0.74127,                 3.7332,                 1.3508,              1.472e-05,              1.472e-05,              1.472e-05
                      6,                0.37378,                  4.464,                0.96318,                0.24726,                0.18987,                0.08944,                0.08238,                0.67373,                 3.6117,                 1.2821,               1.34e-05,               1.34e-05,               1.34e-05
                      7,                0.36494,                 4.3489,                0.96421,                0.71894,                0.07211,                0.12137,                0.11188,                0.72529,                 3.4994,                 1.3529,              1.208e-05,              1.208e-05,              1.208e-05
                      8,                0.36114,                 4.2541,                0.95714,                0.68867,                0.09614,                0.13784,                0.12798,                0.69828,                 3.4251,                 1.3178,              1.076e-05,              1.076e-05,              1.076e-05
                      9,                0.35583,                 4.1791,                0.95515,                0.64423,                 0.1129,                0.15292,                0.14101,                0.73581,                 3.3184,                 1.3768,               9.44e-06,               9.44e-06,               9.44e-06
                     10,                0.35208,                 4.1125,                0.95714,                0.61383,                0.13183,                0.16756,                0.15715,                0.66789,                 3.2573,                 1.2965,               8.12e-06,               8.12e-06,               8.12e-06
                     11,                0.34649,                 4.0582,                0.95347,                0.62838,                0.15153,                 0.1812,                0.16971,                0.67045,                 3.2222,                 1.3001,                6.8e-06,                6.8e-06,                6.8e-06
                     12,                0.34141,                 4.0083,                0.94901,                 0.5598,                0.16614,                0.18689,                 0.1752,                0.66851,                 3.1791,                 1.3029,               5.48e-06,               5.48e-06,               5.48e-06
                     13,                0.34161,                 3.9816,                0.94906,                0.56642,                0.16971,                0.19488,                 0.1827,                0.65987,                 3.1496,                 1.2935,               4.16e-06,               4.16e-06,               4.16e-06
                     14,                0.33949,                 3.9548,                0.94562,                0.55073,                0.17771,                 0.2014,                0.18828,                0.68337,                 3.1325,                 1.3206,               2.84e-06,               2.84e-06,               2.84e-06
