                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.26949,                 1.7566,                0.89891,                0.77633,                0.81679,                0.92437,                0.90827,                0.24753,                0.86346,                0.84728,             6.6537e-06,             6.6537e-06,             6.6537e-06
                      1,                0.27057,                 1.7203,                0.89953,                0.74828,                0.85025,                0.92826,                0.91106,                0.25247,                0.83954,                0.84803,             1.2002e-05,             1.2002e-05,             1.2002e-05
                      2,                0.26946,                 1.6799,                0.89726,                0.75446,                0.86283,                0.94158,                0.92447,                0.24603,                0.80901,                0.84534,              1.603e-05,              1.603e-05,              1.603e-05
                      3,                0.26723,                 1.6136,                0.89426,                0.80199,                0.85535,                0.95272,                0.93769,                0.24209,                0.75356,                0.84037,              1.406e-05,              1.406e-05,              1.406e-05
                      4,                 0.2668,                 1.5594,                0.89219,                0.76105,                0.89641,                0.95417,                0.93975,                0.23737,                0.73236,                0.83775,              1.406e-05,              1.406e-05,              1.406e-05
                      5,                0.26137,                  1.495,                0.89039,                0.78825,                0.90506,                0.96419,                0.94935,                0.24109,                0.69062,                0.83946,              1.208e-05,              1.208e-05,              1.208e-05
                      6,                0.25727,                 1.4502,                0.88555,                0.80879,                0.90057,                0.96928,                0.95588,                0.23367,                0.66399,                0.83561,               1.01e-05,               1.01e-05,               1.01e-05
                      7,                0.25767,                 1.4136,                0.88787,                0.80117,                 0.9241,                0.97169,                0.95819,                0.22937,                  0.636,                0.83284,               8.12e-06,               8.12e-06,               8.12e-06
                      8,                 0.2538,                 1.3809,                0.88483,                0.79908,                0.93383,                0.97312,                0.96233,                0.22312,                0.62192,                0.83173,               6.14e-06,               6.14e-06,               6.14e-06
                      9,                 0.2517,                 1.3567,                0.88374,                0.81485,                0.93222,                 0.9749,                0.96358,                0.22195,                0.60553,                0.82991,               4.16e-06,               4.16e-06,               4.16e-06
